frame,epoch time,sensor T,target T,drive T,df/f,time_s,sensor TF
4481,2021-12-20 10:44:12.212768512,22.48,21.5,19.40387755102041,0.054004,486.173906944,22.478070636090987
4482,2021-12-20 10:44:12.318581504,22.5,21.5,19.563846153846153,0.051759,486.279719936,22.47399556400399
4483,2021-12-20 10:44:12.471930112,22.49061224489796,21.5,19.545510204081634,0.057763,486.433068544,22.46987165496728
4484,2021-12-20 10:44:12.596652800,22.48,21.5,19.53,0.054744,486.557791232,22.465700790276536
4485,2021-12-20 10:44:12.644198400,22.54,21.5,19.28153846153846,0.063198,486.605336832,22.461484866735756
4486,2021-12-20 10:44:12.712323072,22.46938775510204,21.5,19.286938775510205,0.057155,486.673461504,22.457225794198017
4487,2021-12-20 10:44:12.803310336,22.49529411764706,21.5,19.46764705882353,0.062636,486.76444876799997,22.452925493108427
4488,2021-12-20 10:44:12.898079488,22.48530612244898,21.5,19.446326530612247,0.052681,486.85921792,22.448585892052538
4489,2021-12-20 10:44:13.006900224,22.430476190476192,21.5,19.428571428571427,0.053728,486.968038656,22.444208925313557
4490,2021-12-20 10:44:13.109233152,22.45877551020408,21.5,19.406734693877553,0.058503,487.070371584,22.4397965304418
4491,2021-12-20 10:44:13.208508416,22.454,21.5,19.39,0.06117,487.169646848,22.435350645840117
4492,2021-12-20 10:44:13.327377152,22.486666666666668,21.5,19.36641025641026,0.059912,487.28851558400004,22.430873208369007
4493,2021-12-20 10:44:13.499937024,22.48,21.5,19.347916666666666,0.060848,487.46107545600006,22.426366150975404
4494,2021-12-20 10:44:13.605066240,22.48,21.5,19.33,0.066925,487.5662046720001,22.421831400349138
4495,2021-12-20 10:44:13.635090176,22.48,21.5,19.306190476190473,0.06232,487.5962286080001,22.417270874611322
4496,2021-12-20 10:44:13.712398080,22.432244897959183,21.5,19.288367346938774,0.069773,487.6735365120001,22.41268648103891
4497,2021-12-20 10:44:13.812387584,22.44904761904762,21.5,19.26809523809524,0.061859,487.7735260160001,22.40808011382996
4498,2021-12-20 10:44:13.916500992,22.40571428571429,21.5,19.248367346938775,0.061901,487.8776394240001,22.403453651914088
4499,2021-12-20 10:44:14.015605248,22.423783783783783,21.5,19.228918918918918,0.061092,487.9767436800001,22.398808956812747
4500,2021-12-20 10:44:14.111601408,22.395102040816326,21.5,19.209591836734695,0.057264,488.0727398400001,22.394147870553958
4501,2021-12-20 10:44:14.212244480,22.35951219512195,21.5,19.189512195121953,0.059741,488.17338291200014,22.389472213646208
4502,2021-12-20 10:44:14.310513920,22.33142857142857,21.5,19.17,0.065778,488.27165235200016,22.384783783116166
4503,2021-12-20 10:44:14.408461568,22.389,21.5,19.39,0.060805,488.36960000000016,22.38008435061486
4504,2021-12-20 10:44:14.510683904,22.34734693877551,21.5,19.13,0.066734,488.4718223360002,22.375375660596813
4505,2021-12-20 10:44:14.613016832,22.43081081081081,21.5,19.12027027027027,0.063706,488.5741552640002,22.37065942857656
4506,2021-12-20 10:44:14.708932608,22.336734693877553,21.5,19.101224489795918,0.06623,488.6700710400002,22.36593733946684
4507,2021-12-20 10:44:14.810883584,22.316744186046513,21.5,19.081395348837205,0.057828,488.7720220160002,22.361211046002477
4508,2021-12-20 10:44:14.910641664,22.373877551020406,21.5,19.06204081632653,0.059485,488.87178009600024,22.356482167253837
4509,2021-12-20 10:44:15.011033344,22.343809523809522,21.5,19.042380952380952,0.063002,488.9721717760002,22.351752287233477
4510,2021-12-20 10:44:15.109704960,22.326122448979593,21.5,19.228571428571428,0.059742,489.0708433920002,22.347022953599318
4511,2021-12-20 10:44:15.210670080,22.362380952380953,21.5,19.043333333333333,0.062975,489.1718085120002,22.342295676457347
4512,2021-12-20 10:44:15.339989504,22.278367346938772,21.5,19.187755102040818,0.069782,489.3011279360002,22.337571927266563
4513,2021-12-20 10:44:15.496486400,22.275714285714283,21.5,19.214761904761904,0.06344,489.45762483200025,22.332853137848556
