frame,epoch time,sensor T,target T,drive T,df/f,time_s,sensor TF
100,2021-12-20 12:30:36.098972672,20.974489795918366,22.0,17.676122448979594,0.047573,10.001474559999998,20.972280446088025
101,2021-12-20 12:30:36.199857408,20.974,22.0,17.69488888888889,0.046535,10.102359295999998,20.976104369870065
102,2021-12-20 12:30:36.319017728,20.96375,22.0,17.715833333333332,0.051687,10.221519615999998,20.979937624620383
103,2021-12-20 12:30:36.462519296,20.98,22.0,17.735106382978724,0.050306,10.365021183999998,20.983778045975676
104,2021-12-20 12:30:36.538439168,20.98,22.0,17.77,0.045787,10.440941055999998,20.987623527821423
105,2021-12-20 12:30:36.598577664,21.004489795918367,22.0,17.712857142857143,0.045478,10.501079551999998,20.991472023636252
106,2021-12-20 12:30:36.696213504,21.00857142857143,22.0,17.611666666666668,0.045864,10.598715391999999,20.995321547734488
107,2021-12-20 12:30:36.834796544,20.999591836734695,22.0,17.822857142857142,0.044805,10.737298432,20.999170176407965
108,2021-12-20 12:30:37.013401344,21.001333333333335,22.0,17.783333333333335,0.045365,10.915903232,21.003016048968217
109,2021-12-20 12:30:37.067545088,21.000666666666667,22.0,17.832083333333337,0.043566,10.970046975999999,21.006857368690312
110,2021-12-20 12:30:37.121688832,21.0,22.0,17.880833333333335,0.043751,11.024190719999998,21.01069240365959
111,2021-12-20 12:30:37.200062976,21.028979591836737,22.0,17.894489795918368,0.050413,11.102564863999998,21.014519487522588
112,2021-12-20 12:30:37.301460736,21.034545454545455,22.0,17.915,0.046112,11.203962623999997,21.01833702014352
113,2021-12-20 12:30:37.421787904,21.004489795918367,22.0,17.934489795918367,0.059367,11.324289791999997,21.02214346816764
114,2021-12-20 12:30:37.522441216,20.98,22.0,17.95,0.057149,11.424943103999997,21.025937365492975
115,2021-12-20 12:30:37.601750784,21.030232558139534,22.0,17.974651162790696,0.049805,11.504252671999996,21.029717313651748
116,2021-12-20 12:30:37.701981440,21.004489795918367,22.0,17.99326530612245,0.046685,11.604483327999997,21.033481982103044
117,2021-12-20 12:30:37.819291392,21.012,22.0,17.982000000000003,0.045377,11.721793279999996,21.037230108438106
118,2021-12-20 12:30:37.964844800,21.004489795918367,22.0,17.825510204081635,0.045709,11.867346687999996,21.04096049849972
119,2021-12-20 12:30:38.050249472,21.06,22.0,18.05,0.049086,11.952751359999995,21.04467202641717
120,2021-12-20 12:30:38.103095808,21.052558139534884,22.0,18.07,0.054821,12.005597695999995,21.04836363455815
121,2021-12-20 12:30:38.201868288,21.03387755102041,22.0,18.085714285714285,0.049502,12.104370175999994,21.052034333399146
122,2021-12-20 12:30:38.318101760,21.081333333333333,22.0,17.885555555555552,0.048258,12.220603647999994,21.055683201315716
123,2021-12-20 12:30:38.463162368,21.014285714285716,22.0,18.125510204081632,0.045218,12.365664255999993,21.059309384294117
124,2021-12-20 12:30:38.548265472,21.02,22.0,17.91,0.045692,12.450767359999993,21.062912095565654
125,2021-12-20 12:30:38.602620416,21.078181818181818,22.0,18.160454545454545,0.050076,12.505122303999993,21.06649061516526
126,2021-12-20 12:30:38.703454720,21.087755102040816,22.0,18.180408163265305,0.046037,12.605956607999993,21.070044289415673
127,2021-12-20 12:30:38.819919616,21.05090909090909,22.0,18.2,0.038298,12.722421503999993,21.0735725303386
128,2021-12-20 12:30:38.964527360,21.117142857142856,22.0,17.998571428571427,0.04315,12.867029247999993,21.077074814994308
129,2021-12-20 12:30:39.050213888,21.22,22.0,18.003333333333334,0.04498,12.952715775999993,21.08055068475107
130,2021-12-20 12:30:39.103090432,21.052558139534884,22.0,18.03,0.048041,13.005592319999993,21.08399974448588
131,2021-12-20 12:30:39.201872896,21.028979591836737,22.0,18.24061224489796,0.04345,13.104374783999992,21.087421661717844
132,2021-12-20 12:30:39.318468352,21.12086956521739,22.0,18.288260869565217,0.043562,13.220970239999993,21.09081616567572
133,2021-12-20 12:30:39.460561920,21.075,22.0,18.3075,0.045086,13.363063807999993,21.094183046301037
134,2021-12-20 12:30:39.542426112,21.06,22.0,18.31,0.052839,13.444927999999992,21.097522153188287
135,2021-12-20 12:30:39.600110336,21.107659574468084,22.0,18.117021276595743,0.036392,13.502612223999993,21.100833394463617
136,2021-12-20 12:30:39.704706560,21.09265306122449,22.0,18.136326530612248,0.045418,13.607208447999993,21.10411673560354
